B,P,C,X,N,Time
5,1,1,0,1,10.178286
5,1,5,0,1,10.200662
5,5,1,0,1,2.104124
5,5,5,0,1,2.106924
10,1,1,0,1,10.186754
10,1,5,0,1,10.247787
10,1,10,0,1,10.216958
10,5,1,0,1,2.100958
10,5,5,0,1,2.104124
10,5,10,0,1,2.099886
10,10,1,0,1,1.085129
10,10,5,0,1,1.094389
10,10,10,0,1,1.082894
5,1,1,200,1,10.400521
5,1,5,200,1,10.40611
5,5,1,200,1,10.279188
5,5,5,200,1,2.304948
10,1,1,200,1,10.381987
10,1,5,200,1,10.37252
10,1,10,200,1,10.458378
10,5,1,200,1,10.246812
10,5,5,200,1,2.279095
10,5,10,200,1,2.376454
10,10,1,200,1,10.352298
10,10,5,200,1,2.345535
10,10,10,200,1,1.363953
5,1,1,400,1,20.350855
5,1,5,400,1,10.691474
5,5,1,400,1,20.351196
5,5,5,400,1,4.235724
10,1,1,400,1,20.346349
10,1,5,400,1,10.685936
10,1,10,400,1,10.7045
10,5,1,400,1,20.346159
10,5,5,400,1,4.336947
10,5,10,400,1,2.477928
10,10,1,400,1,20.351544
10,10,5,400,1,4.341816
10,10,10,400,1,2.334783
